Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,1.6,0.2,-2.1,,1.0,4.4
2,Alytaus AMS,1.5,0.9,-1.9,,0.1,0.0
3,Birštono AMS,2.3,1.2,-1.4,,0.0,0.0
4,Biržų AMS,1.5,0.9,-0.6,9.0,0.0,0.5
5,Dotnuvos AMS,1.6,1.3,-1.5,11.5,0.0,0.6
6,Druskininkų AMS,1.4,0.7,-2.4,,0.0,0.0
7,Dūkšto AMS,0.7,0.7,-1.8,9.4,0.0,0.3
8,Elektrėnų AMS,0.7,0.8,-1.8,,0.0,0.0
9,Jonavos AMS,1.7,1.7,-0.9,,0.0,0.4
10,Joniškio AMS,2.3,0.7,-0.7,,0.0,0.8
11,Jurbarko AMS,0.8,0.6,-1.5,,5.4,1.1
12,Kaišiadorių AMS,1.3,0.9,-2.0,,0.0,0.0
13,Kalvarijos AMS,1.8,0.8,-2.3,,0.0,0.0
14,Kauno AMS,1.4,1.1,-1.7,11.4,0.3,0.1
15,Kazlų Rūdos AMS,1.7,1,-2.2,,0.0,0.0
16,Kelmės AMS,0.7,0.4,-1.5,,0.6,1.9
17,Kybartų AMS,1.6,1.1,-0.9,12.2,0.0,0.0
18,Klaipėdos AMS,4.1,3.7,0.5,17.2,1.8,7.1
19,Kretingos AMS,3.5,2.3,0.1,,0.6,10.7
20,Kupiškio AMS,1.0,1,-0.7,,0.0,0.0
21,Laukuvos AMS,0.4,-0,-1.6,10.9,2.6,5.5
22,Lazdijų AMS,1.0,0.6,-1.9,11.0,0.0,0.0
23,Marijampolės AMS,1.7,1.2,-2.4,11.0,0.1,0.0
24,Mažeikių AMS,1.2,0.4,-2.6,12.4,1.5,2.4
25,Molėtų AMS,0.8,0.9,-1.8,,0.1,0.1
26,Nidos AMS,4.7,3.4,0.0,13.8,5.1,20.9
27,Pagėgių AMS,1.3,0.6,-1.7,,8.0,2.6
28,Pakruojo AMS,1.9,0.3,-1.1,,0.0,0.3
29,Panevėžio AMS,1.4,1.2,-1.0,12.3,0.0,0.0
30,Plungės AMS,1.9,0.3,-2.0,,1.6,19.1
31,Prienų AMS,1.4,0.8,-1.9,,0.0,0.0
32,Raseinių AMS,0.4,0.3,-1.2,12.5,0.1,0.6
33,Rietavo AMS,1.0,-0.3,-1.2,,3.2,25.8
34,Rokiškio AMS,0.7,1,-0.7,12.7,0.0,0.0
35,Skuodo AMS,2.7,1.1,-2.8,,1.6,0.0
36,Šakių AMS,1.2,0.7,-1.4,,1.3,0.0
37,Šalčininkų AMS,0.0,0.2,-3.0,,0.0,0.0
38,Šeduvos AMS,1.1,0.8,-1.4,,0.0,0.1
39,Šiaulių AMS,1.6,0.5,-1.1,10.9,0.1,2.1
40,Šilutės AMS,4.0,2,0.0,14.2,3.2,3.8
41,Švenčionių AMS,0.0,0.2,-2.6,7.6,0.1,0.0
42,Tauragės AMS,1.9,0.6,-1.2,11.9,2.2,3.2
43,Telšių AMS,0.7,-0,-2.4,10.3,1.3,11.9
44,Trakų AMS,0.3,0.3,-2.5,,0.0,0.0
45,Ukmergės AMS,1.3,1.5,-1.1,10.4,0.0,0.4
46,Utenos AMS,1.1,1.4,-0.9,10.3,0.1,0.3
47,Varėnos AMS,1.0,0.7,-2.1,8.5,0.0,0.0
48,Ventės AMS,4.6,3.6,0.2,20.8,2.0,11.3
49,Vėžaičių AMS,3.0,1.9,0.0,14.8,1.8,22.6
50,Vilniaus AMS,0.2,0.3,-2.5,9.1,0.0,0.0
51,Zarasų AMS,0.9,1.1,-1.2,,0.1,0.1
,Visoje Lietuvoje,,1,,,,
