Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,7.6,4,6.2,,0.0,0.0
2,Alytaus AMS,7.4,3.6,2.0,,0.0,0.0
3,Birštono AMS,7.6,4.2,3.2,,0.0,0.0
4,Biržų AMS,6.3,3.2,4.9,12.4,0.0,0.0
5,Dotnuvos AMS,7.0,3.7,4.1,13.1,0.0,0.0
6,Druskininkų AMS,6.6,3.6,1.3,,0.0,0.0
7,Dūkšto AMS,4.9,1.7,1.1,11.5,0.0,0.0
8,Elektrėnų AMS,7.1,3.3,1.7,,0.0,0.0
9,Jonavos AMS,8.5,4.4,4.1,,0.0,0.0
10,Joniškio AMS,7.6,3.7,5.6,,0.0,0.0
11,Jurbarko AMS,7.8,3.9,4.6,,0.0,0.0
12,Kaišiadorių AMS,8.3,3.9,3.0,,0.0,0.0
13,Kalvarijos AMS,7.8,3.6,3.1,,0.0,0.0
14,Kauno AMS,7.4,3.7,3.4,12.3,0.0,0.0
15,Kazlų Rūdos AMS,7.3,4,3.5,,0.0,0.0
16,Kelmės AMS,7.0,3.4,4.9,,0.0,0.0
17,Kybartų AMS,11.3,5.9,4.8,11.2,0.0,0.0
18,Klaipėdos AMS,9.1,5.3,5.2,13.0,0.0,0.6
19,Kretingos AMS,8.1,4.5,6.1,,0.0,0.5
20,Kupiškio AMS,6.9,3.4,4.1,,0.0,0.0
21,Laukuvos AMS,6.8,3.1,4.5,12.9,0.0,0.0
22,Lazdijų AMS,7.7,3.6,2.5,11.2,0.0,0.0
23,Marijampolės AMS,7.8,4,3.3,12.9,0.0,0.0
24,Mažeikių AMS,9.5,4.8,6.6,10.4,0.0,0.0
25,Molėtų AMS,5.9,2.8,2.2,,0.0,0.0
26,Nidos AMS,5.7,4.3,4.7,14.8,0.0,0.0
27,Pagėgių AMS,7.8,3.6,4.2,,0.0,0.0
28,Pakruojo AMS,6.9,3.4,4.9,,0.0,0.0
29,Panevėžio AMS,7.3,3.7,4.3,12.4,0.0,0.0
30,Plungės AMS,6.7,3.3,5.1,,0.0,0.0
31,Prienų AMS,7.2,3.6,2.9,,0.0,0.0
32,Raseinių AMS,7.2,3.7,4.3,12.1,0.0,0.0
33,Rietavo AMS,5.1,2.5,2.9,,0.0,0.0
34,Rokiškio AMS,6.3,2.8,3.7,12.5,0.0,0.0
35,Skuodo AMS,9.1,5,6.6,,0.0,0.0
36,Šakių AMS,7.9,3.8,3.2,,0.0,0.0
37,Šalčininkų AMS,5.3,2,-0.5,,0.0,0.0
38,Šeduvos AMS,6.3,3.2,4.3,,0.0,0.0
39,Šiaulių AMS,7.8,4,5.6,13.7,0.0,0.0
40,Šilutės AMS,8.3,4.6,6.2,11.7,0.0,0.0
41,Švenčionių AMS,3.2,0.9,0.2,12.3,0.0,0.0
42,Tauragės AMS,9.5,4.6,5.9,9.1,0.0,0.0
43,Telšių AMS,7.9,3.8,5.4,12.6,0.0,0.0
44,Trakų AMS,5.4,2.6,0.9,,0.0,0.0
45,Ukmergės AMS,7.9,3.7,3.4,12.5,0.0,0.0
46,Utenos AMS,5.9,2.9,3.0,10.8,0.0,0.0
47,Varėnos AMS,5.9,3.3,1.0,9.7,0.0,0.0
48,Ventės AMS,7.4,4.3,4.7,12.7,0.0,0.0
49,Vėžaičių AMS,7.5,4.1,6.0,12.7,0.0,0.0
50,Vilniaus AMS,5.3,2.4,0.6,12.0,0.0,0.0
51,Zarasų AMS,4.6,1.8,2.0,,0.0,0.0
,Visoje Lietuvoje,,3.6,,,,
