Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
1,Akmena-Danė - Klaipėdos VMS,6426,2024-11-07 03:00:00,102.7,,7.8
2,Akmena-Danė - Klaipėdos VMS,6426,2024-11-07 04:00:00,100.5,,7.8
3,Akmena-Danė - Kretingos VMS,5122,2024-11-07 04:00:00,159.0,4.52,8.3
4,Akmena-Danė - Kretingos VMS,5122,2024-11-07 03:00:00,159.6,4.55,8.3
5,Akmena - Paakmenio VMS,5223,2024-11-07 03:00:00,20.7,2.19,6.5
6,Akmena - Paakmenio VMS,5223,2024-11-07 04:00:00,21.4,2.25,6.5
7,Alnis - Paelnės VMS,5328,2024-11-07 04:00:00,101.2,,8.2
8,Alnis - Paelnės VMS,5328,2024-11-07 03:00:00,101.2,,8.2
9,Atmata - Rusnės VMS,5124,2024-11-07 03:00:00,203.8,209.43,7.3
10,Atmata - Rusnės VMS,5124,2024-11-07 04:00:00,203.9,209.68,7.3
11,Atmata - Uostadvario VMS,5128,2024-11-07 04:00:00,540.1,,
12,Atmata - Uostadvario VMS,5128,2024-11-07 03:00:00,540.5,,
13,Aunuva - Aunuvėnų VMS,5221,2024-11-07 03:00:00,93.4,0.11,8.0
14,Aunuva - Aunuvėnų VMS,5221,2024-11-07 04:00:00,93.3,0.11,8.0
15,Baltijos jūra - Palangos VMS,5925,2024-11-07 04:00:00,524.8,,9.6
16,Baltijos jūra - Palangos VMS,5925,2024-11-07 03:00:00,519.9,,9.6
17,Baluošas - Vaišniūnių VMS,5624,2024-11-07 03:00:00,95.0,,8.0
18,Baluošas - Vaišniūnių VMS,5624,2024-11-07 04:00:00,94.9,,8.1
19,Bartuva - Skuodo VMS,6121,2024-11-07 03:00:00,46.2,4.77,8.5
20,Bartuva - Skuodo VMS,6121,2024-11-07 04:00:00,46.1,4.76,8.5
21,Beržupis - Lynežerio VMS,5320,2024-11-07 03:00:00,15.2,,3.9
22,Beržupis - Lynežerio VMS,5320,2024-11-07 04:00:00,15.2,,4.0
23,Birvėta - Lazinkų VMS,5229,2024-11-07 04:00:00,114.6,,5.9
24,Birvėta - Lazinkų VMS,5229,2024-11-07 03:00:00,115.9,,5.9
25,Daugyvenė - Rimšonių VMS,5722,2024-11-07 03:00:00,84.9,,7.3
26,Daugyvenė - Rimšonių VMS,5722,2024-11-07 04:00:00,84.9,,7.3
27,Dysna - Kačergiškės VMS,5526,2024-11-07 03:00:00,113.2,,6.8
28,Dysna - Kačergiškės VMS,5526,2024-11-07 04:00:00,113.9,,6.8
29,Dubysa - Lyduvėnų VMS,5322,2024-11-07 04:00:00,99.5,3.27,6.4
30,Dubysa - Lyduvėnų VMS,5322,2024-11-07 03:00:00,99.6,3.29,6.4
31,Dubysa - Padubysio VMS,5326,2024-11-07 03:00:00,-1.1,0.00,6.7
32,Dubysa - Padubysio VMS,5326,2024-11-07 04:00:00,-1.2,0.00,6.7
33,Gėgė - Plaškių VMS,5923,2024-11-07 03:00:00,137.1,,7.1
34,Gėgė - Plaškių VMS,5923,2024-11-07 04:00:00,137.2,,7.1
35,Girutiškis - Rušiškių VMS,5723,2024-11-07 04:00:00,66.1,,5.6
36,Girutiškis - Rušiškių VMS,5723,2024-11-07 03:00:00,66.2,,5.6
37,Yslykis - Kyburių VMS,6422,2024-11-07 03:00:00,90.4,0.25,6.7
38,Yslykis - Kyburių VMS,6422,2024-11-07 04:00:00,90.4,0.25,6.7
39,Jūra - Pajūrio VMS,5921,2024-11-07 03:00:00,112.6,,7.1
40,Jūra - Pajūrio VMS,5921,2024-11-07 04:00:00,112.6,,7.1
41,Jūra - Tauragės VMS,5227,2024-11-07 03:00:00,125.0,16.62,7.4
42,Jūra - Tauragės VMS,5227,2024-11-07 04:00:00,124.8,16.56,7.5
43,Katra - Paramėlio VMS,5429,2024-11-07 03:00:00,2.1,,0.0
44,Katra - Paramėlio VMS,5429,2024-11-07 04:00:00,2.0,,1.2
45,Klaipėdos jūrų uosto VMS – Baltijos jūra,5720,2024-11-07 03:00:00,513.9,,7.9
46,Klaipėdos jūrų uosto VMS – Baltijos jūra,5720,2024-11-07 04:00:00,515.5,,8.1
47,Klaipėdos kanalas - Lankupių VMS,5129,2024-11-07 03:00:00,527.8,,6.4
48,Klaipėdos kanalas - Lankupių VMS,5129,2024-11-07 04:00:00,527.1,,6.4
49,Kražantė - Pluskių VMS,5222,2024-11-07 04:00:00,2.5,0.67,9.7
50,Kražantė - Pluskių VMS,5222,2024-11-07 03:00:00,2.7,0.68,9.7
51,Kuršių marios - Juodkrantės VMS,5425,2024-11-07 04:00:00,527.0,,8.5
52,Kuršių marios - Juodkrantės VMS,5425,2024-11-07 03:00:00,526.8,,8.5
53,Leitė - Kūlynų VMS,5428,2024-11-07 03:00:00,145.1,,9.0
54,Leitė - Kūlynų VMS,5428,2024-11-07 04:00:00,144.4,,9.0
55,Lėvuo - Bernatonių VMS,5423,2024-11-07 04:00:00,-14.9,0.00,6.7
56,Lėvuo - Bernatonių VMS,5423,2024-11-07 03:00:00,-14.9,0.00,6.7
57,Lėvuo - Kupiškio VMS,5628,2024-11-07 04:00:00,88.2,,7.9
58,Lėvuo - Kupiškio VMS,5628,2024-11-07 03:00:00,88.3,,7.9
59,Mera-Kūna - Pažeimenės VMS,5524,2024-11-07 04:00:00,54.3,,6.8
60,Mera-Kūna - Pažeimenės VMS,5524,2024-11-07 03:00:00,54.2,,6.8
61,Merkys - Jašiūnų VMS,5622,2024-11-07 03:00:00,63.2,,13.5
62,Merkys - Jašiūnų VMS,5622,2024-11-07 04:00:00,63.2,,13.5
63,Merkys - Puvočių VMS,4428,2024-11-07 04:00:00,113.8,25.95,7.6
64,Merkys - Puvočių VMS,4428,2024-11-07 03:00:00,113.8,25.95,7.6
65,Minija - Kartenos VMS,5121,2024-11-07 04:00:00,95.9,6.61,7.2
66,Minija - Kartenos VMS,5121,2024-11-07 03:00:00,96.1,6.64,7.2
67,Minija - Lankupių VMS,5123,2024-11-07 03:00:00,529.7,24.64,7.0
68,Minija - Lankupių VMS,5123,2024-11-07 04:00:00,528.7,24.44,7.0
69,Minija - Priekulės VMS,5926,2024-11-07 03:00:00,148.9,,7.1
70,Minija - Priekulės VMS,5926,2024-11-07 04:00:00,147.5,,7.2
71,Mituva - Žindaičių VMS,5224,2024-11-07 03:00:00,22.0,,7.8
72,Mituva - Žindaičių VMS,5224,2024-11-07 04:00:00,22.0,,7.7
73,Musteika - Musteikos VMS,5324,2024-11-07 04:00:00,47.0,,4.4
74,Musteika - Musteikos VMS,5324,2024-11-07 03:00:00,47.5,,4.4
75,Mūša - Ustukių VMS,6424,2024-11-07 04:00:00,46.2,5.28,6.8
76,Mūša - Ustukių VMS,6424,2024-11-07 03:00:00,46.7,5.35,6.8
77,Mūša - Žilpamūšio VMS,5725,2024-11-07 03:00:00,61.9,,7.2
78,Mūša - Žilpamūšio VMS,5725,2024-11-07 04:00:00,62.0,,7.2
79,Nemunas - Birštono VMS,4424,2024-11-07 04:00:00,501.4,,6.5
80,Nemunas - Birštono VMS,4424,2024-11-07 03:00:00,503.7,,6.5
81,Nemunas - Darsūniškio VMS,4421,2024-11-07 03:00:00,495.0,,5.3
82,Nemunas - Darsūniškio VMS,4421,2024-11-07 04:00:00,494.1,,5.3
83,Nemunas - Druskininkų VMS,4323,2024-11-07 04:00:00,6.5,104.57,6.5
84,Nemunas - Druskininkų VMS,4323,2024-11-07 03:00:00,7.4,105.64,6.6
85,Nemunas - Kauno VMS,4324,2024-11-07 04:00:00,55.8,,8.8
86,Nemunas - Kauno VMS,4324,2024-11-07 03:00:00,55.6,,8.8
87,Nemunas - Lampėdžių VMS,5721,2024-11-07 03:00:00,-129.3,0.00,7.2
88,Nemunas - Lampėdžių VMS,5721,2024-11-07 04:00:00,-129.6,0.00,7.1
89,Nemunas - Lazdėnų VMS,5626,2024-11-07 04:00:00,138.8,,
90,Nemunas - Lazdėnų VMS,5626,2024-11-07 03:00:00,138.9,,
91,Nemunas - Nemajūnų VMS,4426,2024-11-07 04:00:00,20.0,143.07,7.8
92,Nemunas - Nemajūnų VMS,4426,2024-11-07 03:00:00,19.8,142.77,7.8
93,Nemunas - Panemunės VMS,5226,2024-11-07 03:00:00,91.1,,7.5
94,Nemunas - Panemunės VMS,5226,2024-11-07 04:00:00,90.8,,7.4
95,Nemunas - Smalininkų VMS,5225,2024-11-07 04:00:00,71.0,247.02,
96,Nemunas - Smalininkų VMS,5225,2024-11-07 03:00:00,70.9,246.86,
97,Nemunas - Šilininkų VMS,5126,2024-11-07 04:00:00,91.1,,8.7
98,Nemunas - Šilininkų VMS,5126,2024-11-07 03:00:00,91.4,,8.8
99,Nemunėlis - Kvetkų VMS,5629,2024-11-07 04:00:00,64.4,,6.2
100,Nemunėlis - Kvetkų VMS,5629,2024-11-07 03:00:00,64.6,,6.1
101,Nemunėlis - Tabokinės VMS,6421,2024-11-07 04:00:00,61.5,15.27,6.4
102,Nemunėlis - Tabokinės VMS,6421,2024-11-07 03:00:00,63.1,15.98,6.4
103,Neris - Buivydžių VMS,4522,2024-11-07 04:00:00,228.4,60.79,6.5
104,Neris - Buivydžių VMS,4522,2024-11-07 03:00:00,228.4,60.79,6.5
105,Neris - Jonavos VMS,5421,2024-11-07 03:00:00,31.3,105.42,
106,Neris - Jonavos VMS,5421,2024-11-07 04:00:00,31.4,105.56,
107,Neris - Vilniaus VMS,4523,2024-11-07 03:00:00,246.0,84.98,10.4
108,Neris - Vilniaus VMS,4523,2024-11-07 04:00:00,246.0,84.98,10.4
109,Nevėžis - Babtų VMS,5323,2024-11-07 04:00:00,101.8,4.48,6.0
110,Nevėžis - Babtų VMS,5323,2024-11-07 03:00:00,103.3,4.65,6.0
111,Nevėžis - Panevėžio VMS,5426,2024-11-07 03:00:00,17.0,1.21,9.1
112,Nevėžis - Panevėžio VMS,5426,2024-11-07 04:00:00,17.0,1.21,9.1
113,Nevėžis - Traupio VMS,5623,2024-11-07 03:00:00,61.1,,8.9
114,Nevėžis - Traupio VMS,5623,2024-11-07 04:00:00,61.1,,8.9
115,Paršežeris - Požerio VMS,5924,2024-11-07 04:00:00,66.8,,5.9
116,Paršežeris - Požerio VMS,5924,2024-11-07 03:00:00,67.0,,5.9
117,Pyvesa- Žadeikių VMS,5625,2024-11-07 03:00:00,74.6,,6.9
118,Pyvesa- Žadeikių VMS,5625,2024-11-07 04:00:00,74.7,,6.9
119,Platonis - Vaineikių VMS,5525,2024-11-07 03:00:00,145.0,,8.0
120,Platonis - Vaineikių VMS,5525,2024-11-07 04:00:00,145.5,,8.0
121,Sanžilės kanalas - Bernatonių VMS,5523,2024-11-07 03:00:00,-21.2,0.00,6.7
122,Sanžilės kanalas - Bernatonių VMS,5523,2024-11-07 04:00:00,-21.2,0.00,6.7
123,Sidabra - Šarkių VMS,5627,2024-11-07 03:00:00,86.0,,7.2
124,Sidabra - Šarkių VMS,5627,2024-11-07 04:00:00,86.6,,7.2
125,Skirvytė - Rusnės VMS,5127,2024-11-07 03:00:00,201.2,,
126,Skirvytė - Rusnės VMS,5127,2024-11-07 04:00:00,201.1,,
127,Skroblus - Dubininko VMS,4325,2024-11-07 04:00:00,18.2,,5.4
128,Skroblus - Dubininko VMS,4325,2024-11-07 03:00:00,18.2,,5.5
129,Smardonė - Likėnų VMS,6452,2024-11-07 03:00:00,109.4,,8.2
130,Smardonė - Likėnų VMS,6452,2024-11-07 04:00:00,109.4,,8.2
