Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
1,Akmena-Danė - Klaipėdos VMS,6426,2024-11-12 10:00:00,88.3,,6.4
2,Akmena-Danė - Klaipėdos VMS,6426,2024-11-12 09:00:00,88.0,,6.4
3,Akmena-Danė - Kretingos VMS,5122,2024-11-12 10:00:00,132.9,3.20,6.5
4,Akmena-Danė - Kretingos VMS,5122,2024-11-12 09:00:00,133.5,3.22,6.5
5,Akmena - Paakmenio VMS,5223,2024-11-12 10:00:00,16.3,1.89,4.4
6,Akmena - Paakmenio VMS,5223,2024-11-12 09:00:00,16.3,1.89,4.3
7,Alnis - Paelnės VMS,5328,2024-11-12 09:00:00,101.3,,7.3
8,Alnis - Paelnės VMS,5328,2024-11-12 10:00:00,101.3,,7.3
9,Atmata - Rusnės VMS,5124,2024-11-12 09:00:00,181.8,156.93,6.4
10,Atmata - Rusnės VMS,5124,2024-11-12 10:00:00,181.7,156.71,6.4
11,Atmata - Uostadvario VMS,5128,2024-11-12 10:00:00,514.9,,
12,Atmata - Uostadvario VMS,5128,2024-11-12 09:00:00,515.1,,
13,Aunuva - Aunuvėnų VMS,5221,2024-11-12 10:00:00,92.3,0.11,6.0
14,Aunuva - Aunuvėnų VMS,5221,2024-11-12 09:00:00,92.3,0.11,6.0
15,Baltijos jūra - Palangos VMS,5925,2024-11-12 10:00:00,508.0,,8.0
16,Baltijos jūra - Palangos VMS,5925,2024-11-12 09:00:00,507.2,,8.0
17,Baluošas - Vaišniūnių VMS,5624,2024-11-12 10:00:00,95.1,,7.2
18,Baluošas - Vaišniūnių VMS,5624,2024-11-12 09:00:00,95.0,,7.2
19,Bartuva - Skuodo VMS,6121,2024-11-12 10:00:00,30.9,3.59,5.7
20,Bartuva - Skuodo VMS,6121,2024-11-12 09:00:00,29.9,3.52,5.6
21,Beržupis - Lynežerio VMS,5320,2024-11-12 10:00:00,14.5,,4.8
22,Beržupis - Lynežerio VMS,5320,2024-11-12 09:00:00,14.5,,4.8
23,Birvėta - Lazinkų VMS,5229,2024-11-12 10:00:00,107.2,,4.6
